state_abbrev,cities,population,crime_rate_per_100k
FL,Kissimmee,62183,3274.0459611147744
CA,La Habra,61731,1718.747468856814
IN,Lafayette,68160,2178.2570422535214
CA,Laguna Niguel,64533,2060.0313018145757
CA,Lake Forest,79166,804.2594042897204
FL,Lakeland,99934,1116.436848319891
NJ,Lakewood Township,93742,1505.5151372917155
CA,Lakewood,81382,1713.6467523531003
PA,Lancaster,60155,4087.274540769679
FL,Largo,78783,2403.945013518145
NM,Las Cruces,99824,2000.0200352620614
FL,Lauderhill,69046,2850.708223503172
KS,Lawrence,89180,1945.167077820139
MA,Lawrence,77661,4559.560139581
OK,Lawton,98781,2192.2232008179712
UT,Layton,69420,1168.2512244309996
TX,League City,86127,709.0691653024023
MO,Lee's Summit,91840,698.3885017421603
CA,Livermore,82800,1586.9565217391305
MI,Livonia,96028,883.8047236222769
CA,Lodi,63718,2209.2658275526537
CO,Longmont,88925,1062.2434635929155
TX,Longview,82554,1822.4434915328147
OH,Lorain,64148,1866.153270561826
CO,Loveland,69147,1177.491431298538
VA,Lynchburg,77347,1618.1623075232392
MA,Lynn,91846,2943.514143239771
CA,Lynwood,70908,4882.805889321375
GA,Macon,92836,1933.0863027273901
CA,Madera,62796,4818.300528696095
MA,Malden,60605,2638.5611748205592
CA,Manteca,68887,2880.8047962605424
MN,Maple Grove,62840,524.1884150222788
WA,Marysville,61381,2205.8943321223182
OR,Medford,76037,2601.233609953049
FL,Melbourne,77133,3501.0955103522488
CA,Menifee,80047,1571.701625295139
CA,Merced,80976,1898.71072910492
CT,Meriden,60934,2782.0264548527916
ID,Meridian,77270,710.1074155558431
FL,Miami Beach,91066,1670.1073946368567
NJ,Middletown Township,66919,1833.4105411019295
CA,Milpitas,68433,1783.0578814314733
CA,Mission Viejo,95599,1469.471437985753
TX,Mission,80557,1217.2747247290738
MT,Missoula,67758,2014.9650225803596
TX,Missouri City,70819,2095.482850647425
CA,Montebello,63538,3341.3075639774625
CA,Monterey Park,61270,3121.7561612534682
SC,Mount Pleasant,70016,1093.3215265082267
NY,Mount Vernon,68146,3628.239368414874
CA,Mountain View,75933,1044.0783322139255
IN,Muncie,70300,2850.924608819346
ID,Nampa,83316,1434.7784339142543
CA,Napa,78589,1622.1099644988485
NH,Nashua,86870,1148.9582134223554
MA,New Bedford,96031,2450.562839083213
TX,New Braunfels,60482,1700.1752587546707
CT,New Britain,73458,1903.2644504342618
NY,New Rochelle,78025,996.9881448253764
CA,Newport Beach,87286,973.6956671172924
MA,Newton,86710,1391.304347826087
NJ,North Bergen Township,61747,2384.0834372520117
AR,North Little Rock,63125,3189.8613861386134
FL,North Miami,60964,3608.0309690965164
TX,North Richland Hills,65750,1658.7072243346008
PA,Northern York Regional,66974,613.0737301042195
CT,Norwalk,86693,1204.24947804321
MO,O'Fallon,80670,451.8408330234288
UT,Ogden,85083,2287.6485314340116
NJ,Old Bridge Township,66057,719.5301027900147
UT,Orem,91953,429.3497765162638
WI,Oshkosh,66514,1715.7290194545508
IL,Palatine,68890,236.02845115401365
CA,Palo Alto,66019,1103.6216846665354
OH,Parma,80963,1546.8794387559751
WA,Pasco,63806,2394.915838635865
NJ,Passaic,70237,3287.725842504662
RI,Pawtucket,71085,3229.51396215798
TX,Pearland,94702,675.8041012861397
CA,Perris,70616,2893.820097428345
TX,Pharr,73599,2281.824481310887
CA,Pico Rivera,63988,3026.192411077077
CA,Pittsburg,64890,2009.0923100631837
FL,Plantation,87705,1881.1926343994073
CA,Pleasanton,71875,739.6173913043478
MN,Plymouth,72020,620.6609275201332
ME,Portland,66413,1902.3383976028788
VA,Portsmouth,96739,1210.6802840633043
MA,Quincy,93736,1608.2401638644703
WI,Racine,79055,1404.8447283536777
NY,Ramapo Town,85448,2180.390412882689
CA,Rancho Cordova,66214,3487.3289636632735
SD,Rapid City,69979,3412.166507094986
PA,Reading,88557,2795.1488871574243
CA,Redding,90974,2310.110581045134
CA,Redlands,70399,2925.467691302433
CA,Redondo Beach,67856,1635.374911577458
CA,Redwood City,78466,1778.7321897382305
WA,Renton,93722,2367.960564221848
NM,Rio Rancho,89462,1153.3388477789451
VA,Roanoke,97780,2376.252812436081
SC,Rock Hill,68064,3153.649506346968
GA,Roswell,92141,891.676886510891
CA,San Clemente,65089,2334.3422083608593
CA,San Leandro,86869,3134.1445164558136
CA,San Marcos,85810,1424.5425941032515
CA,San Mateo,99303,963.4150025678982
CA,San Ramon,74013,1716.1849945279885
GA,Sandy Springs,97890,1307.5901522116662
UT,Sandy,90405,1087.6610806924398
CA,Santa Barbara,89871,1754.4035339542231
CA,Santa Cruz,60902,4467.340974023841
NM,Santa Fe,68751,1768.5560937295456
CA,Santa Monica,91215,1867.5656416159622
IL,Schaumburg,74585,713.5483005966348
NY,Schenectady,66631,3139.8298089477867
PA,Scranton,76118,2176.489135289945
KS,Shawnee,63542,1141.9218784426046
MI,Shelby Township,73960,692.9421308815577
IA,Sioux City,83289,1979.1328987021097
IL,Skokie,65096,1446.4790463315721
MA,Somerville,77200,1701.2953367875648
CA,South Gate,95966,2642.810995560928
CA,South San Francisco,65006,1801.0645171214965
MI,Southfield,72253,3300.485792977454
NV,Sparks,92387,1543.0742420470415
WA,Spokane Valley,91164,2061.230310210171
AR,Springdale,71668,2466.7913155104093
OH,Springfield,60329,2519.5179764292466
OR,Springfield,60119,2346.346412947654
MO,St. Charles,66723,1096.1737331954498
UT,St. George,75780,1225.917128529955
MO,St. Joseph,77330,1700.762963920859
TX,Sugar Land,82924,788.071004775457
FL,Sunrise,87168,1845.1725403817916
FL,Tamarac,62382,2803.3727677855786
MI,Taylor,62534,3638.820481657978
TX,Temple,68194,1060.210575710473
IN,Terre Haute,61152,1778.192046049189
NJ,Toms River Township,92131,989.6777414768104
CA,Tracy,85047,1190.4006020200595
NJ,Trenton,85317,2362.952283835578
MI,Troy,81567,613.2381968197923
CA,Tulare,60848,2927.7872732053643
CA,Turlock,69730,4160.762942779292
AL,Tuscaloosa,91973,1368.771269829189
CA,Tustin,77400,1000.0
CA,Union City,71089,2388.55519137982
NJ,Union City,67518,1917.266506709322
CA,Upland,75531,2269.9289033641817
PA,Upper Darby Township,82978,1989.8045265010003
NY,Utica,62445,3877.492193129955
CA,Vacaville,93951,1113.5591957509764
TX,Victoria,64076,3670.485049004307
NJ,Vineland,61252,1313.9162802847254
CA,Vista,96087,1837.9177203992215
CA,Walnut Creek,65816,1742.8892670475268
MA,Waltham,61725,2994.7347104090722
GA,Warner Robins,69231,1836.171657205587
RI,Warwick,82282,934.9553972922389
MI,Waterford Township,72224,1293.8912272928667
IA,Waterloo,68919,2181.2562573455793
IL,Waukegan,89468,1909.9566325390085
WI,Waukesha,71049,948.7818266266943
WI,West Allis,60870,2877.4437325447675
MI,West Bloomfield Township,65157,1794.8954064797338
CT,West Hartford,63487,1089.3568762108775
MI,Westland,83299,2278.538757968283
CA,Westminster,91908,1606.3889976933456
FL,Weston,67452,3178.4083496412254
CA,Whittier,86740,1645.3769887018682
DE,Wilmington,72088,3065.4200421706805
MN,Woodbury,63190,648.678588384238
WA,Yakima,93419,1297.1665292927562
CA,Yorba Linda,65820,2061.3795199027645
PA,York Area Regional,60732,2128.367252848581
OH,Youngstown,66567,2166.3887511830185
CA,Yuba City,65653,2735.290085753888
AZ,Yuma,95568,2416.3946090741674
TX,Abilene,119886,1497.2557262732928
OH,Akron,198390,1076.9696053228488
VA,Alexandria,145892,513.5991007046308
PA,Allentown,119334,1175.6079574974442
TX,Amarillo,196576,824.2613543871073
NY,Amherst Town,117591,308.8671752089871
MI,Ann Arbor,115008,969.2369226488593
CA,Antioch,105009,968.583645211363
CO,Arvada,109029,763.0080070439974
GA,Athens-Clarke County,117457,1667.8444026324526
IL,Aurora,199765,550.2965985032412
LA,Baton Rouge,231500,557.7105831533478
TX,Beaumont,120323,1050.6719413578453
WA,Bellevue,126022,740.5849772261987
CA,Berkeley,114961,1956.5765781438922
MT,Billings,106371,1718.0434516926607
AL,Birmingham,213266,940.7969390338826
ID,Boise,211569,492.3689198323006
CO,Boulder,100257,1092.4922948023577
CT,Bridgeport,146030,1878.1757173183596
OK,Broken Arrow,100688,787.9787064992848
TX,Brownsville,181102,700.3235745601926
CA,Burbank,105057,967.6651722398318
MA,Cambridge,106981,1285.2749553659062
FL,Cape Coral,159625,562.0046985121379
CA,Carlsbad,107879,1010.4839681495007
TX,Carrollton,124477,913.9037733878547
NC,Cary,141016,333.50825438248137
IA,Cedar Rapids,128401,1171.7977274320292
CO,Centennial,104022,617.3694026263676
AZ,Chandler,242721,451.3412518900301
SC,Charleston,123856,782.9253326443613
VA,Chesapeake,227531,577.7234750429611
CA,Chula Vista,249830,495.13669295120684
TN,Clarksville,137356,1533.460496811206
FL,Clearwater,109255,2135.3713788842615
MO,Columbia,110646,1534.8046924425646
GA,Columbus,196178,736.3720702627205
CA,Concord,125205,1462.0821852162453
FL,Coral Springs,125021,754.993161148927
CA,Corona,157342,725.8074767067916
CA,Costa Mesa,112635,1211.612731389
CA,Daly City,103311,1015.671128921412
IA,Davenport,101193,2328.125463223741
OH,Dayton,142139,1713.1118130843754
TX,Denton,118942,1079.265524373224
IA,Des Moines,207400,690.4532304725168
CA,Downey,113628,1851.8322948569012
NC,Durham,235563,743.1982102452422
NJ,Edison Township,101007,682.2299444592949
CA,El Cajon,101864,1558.4504829969371
CA,El Monte,115356,2269.496168383092
IL,Elgin,109155,797.3065823828501
NJ,Elizabeth,126281,2613.6948551246824
CA,Elk Grove,156344,781.4178989919665
PA,Erie,101972,980.9555564272547
CA,Escondido,147386,1278.8867327968735
OR,Eugene,158043,1125.0102820118575
IN,Evansville,118194,1912.7028444760313
WA,Everett,105318,1741.772536508479
CA,Fairfield,107110,1813.929605078891
ND,Fargo,109813,1155.8740768397183
NC,Fayetteville,205966,737.4032607323539
MI,Flint,101632,1261.5121221662469
CA,Fontana,200874,943.0289634298117
CO,Fort Collins,148792,687.4697564385182
FL,Fort Lauderdale,170827,1259.7540201490397
CA,Fremont,218927,494.320024483047
TX,Frisco,123205,454.5270078324743
CA,Fullerton,138455,1027.1207251453538
FL,Gainesville,127036,1827.985767813848
CA,Garden Grove,175079,730.7558302252127
TX,Garland,234984,704.3032717121166
AZ,Gilbert,214264,283.10868834708583
AZ,Glendale,232997,647.3044717313957
CA,Glendale,194902,339.811802854768
TX,Grand Prairie,181782,886.0613262039145
MI,Grand Rapids,189953,886.2718672513728
WI,Green Bay,106080,1595.965309200603
OR,Gresham,108202,2222.5097502818803
VA,Hampton,137905,866.6110728399988
CT,Hartford,125203,2237.2467113407824
CA,Hayward,147424,1744.3564141523766
FL,Hialeah,233107,626.6650079148202
NC,High Point,106801,1225.6439546446195
FL,Hollywood,145313,921.5968289141371
CA,Huntington Beach,194677,460.1468072756412
AL,Huntsville,183691,1215.6284194652978
MO,Independence,117433,1346.6402118654892
CA,Inglewood,111488,2288.1386337543054
CA,Irvine,217528,195.46908903681367
TX,Irving,224007,569.0000758904855
MS,Jackson,175939,1444.7052671664612
IL,Joliet,148471,963.4204659495795
KS,Kansas City,147201,1366.9744091412422
WA,Kent,122102,1307.922884146042
TX,Killeen,131965,1087.561095745084
TN,Knoxville,182254,1343.3450020301339
LA,Lafayette,122852,1192.084784944486
CO,Lakewood,146404,1342.2447474112728
CA,Lancaster,159155,1249.4109515880746
MI,Lansing,114688,1839.773995535714
TX,Laredo,245558,691.7306705544108
AR,Little Rock,196055,955.8542245798373
MA,Lowell,108539,1964.2709072315024
TX,Lubbock,237241,829.4940587841056
WI,Madison,237508,646.8834733987908
NH,Manchester,110040,1856.4158487822613
TX,McAllen,135745,567.6083833658698
TX,McKinney,138105,552.6230042359074
TX,Mesquite,144811,749.1834183867248
FL,Miami Gardens,111177,1840.5785369276016
TX,Midland,115637,1115.1275110907409
FL,Miramar,125998,1358.6723598787285
CA,Modesto,204631,1189.0182816875251
AL,Montgomery,209018,630.6155450726731
CA,Moreno Valley,199673,579.1469051899857
TN,Murfreesboro,112247,1991.4117971972526
CA,Murrieta,106839,593.9778545287769
IL,Naperville,142840,261.6914029683562
CT,New Haven,129934,1530.5462773408037
VA,Newport News,181591,848.7755450435319
VA,Norfolk,245303,939.3280962727728
OK,Norman,113969,880.7658222850073
SC,North Charleston,100675,2829.7988577104543
NV,North Las Vegas,221884,1198.7795424636297
CA,Norwalk,107295,1683.5826459760474
CA,Oceanside,171141,936.1871205614084
TX,Odessa,103635,2099.5802576349693
KS,Olathe,128560,528.858120721842
CA,Ontario,167933,1101.0343410765008
CA,Orange,139692,542.6939266386049
FL,Orlando,246513,627.3097159176189
KS,Overland Park,177085,449.9534122031792
CA,Oxnard,201797,638.4634062944444
FL,Palm Bay,104635,1792.0389926888706
CA,Palmdale,155294,1222.7774414980615
CA,Pasadena,139382,1033.2037135354637
TX,Pasadena,154562,1158.1760070392463
NJ,Paterson,147148,1135.727294968331
FL,Pembroke Pines,159744,603.1525440705128
AZ,Peoria,158347,712.7384794154609
IL,Peoria,115288,1557.317327041843
CA,Pomona,151511,1765.6143778339526
FL,Pompano Beach,103003,1378.9889614865585
FL,Port St. Lucie,168416,598.2804484134524
RI,Providence,177882,1084.033235515679
UT,Provo,116879,521.2228030698416
CO,Pueblo,109065,1754.550038967588
CA,Rancho Cucamonga,169276,899.4187008199627
NV,Reno,230486,921.9648915769287
CA,Rialto,101595,2703.971652148236
TX,Richardson,103266,1098.0380764239924
CA,Richmond,106357,1027.1068194853183
VA,Richmond,207799,1311.0265208206008
MN,Rochester,108582,631.9647823764527
NY,Rochester,211993,1059.1859165161113
IL,Rockford,152293,1062.4257188445956
CA,Roseville,122896,885.8709803411014
TX,Round Rock,106232,616.6691768958507
OR,Salem,157353,1171.5696554879792
CA,Salinas,154413,1826.0768199568688
UT,Salt Lake City,192465,1654.8463356973998
CA,San Bernardino,214987,874.9366240749441
CA,Santa Clara,119360,1035.4390080428955
CA,Santa Clarita,179248,499.25243238418284
CA,Santa Maria,101207,2432.934480816544
CA,Santa Rosa,170862,792.2182814200936
GA,Savannah-Chatham Metropolitan,231285,840.8240914888559
AZ,Scottsdale,223432,431.4511797772925
LA,Shreveport,202164,872.0147998654558
CA,Simi Valley,126686,501.0024785690605
SD,Sioux Falls,158354,981.0298445255567
IN,South Bend,101398,1487.1101994122173
WA,Spokane,212163,1073.6556326975015
IL,Springfield,117131,1835.3808983104389
MA,Springfield,154518,990.9525103871395
MO,Springfield,160962,1637.5914812191697
FL,St. Petersburg,248340,868.12434565515
CT,Stamford,124201,753.214547386897
MI,Sterling Heights,129974,581.885607890809
CA,Sunnyvale,143606,581.3823934933082
AZ,Surprise,120793,658.6474381793647
NY,Syracuse,145934,1467.9238559896942
WA,Tacoma,202646,1250.703196707559
FL,Tallahassee,185461,1072.2469953251627
CA,Temecula,103414,929.5646624248167
AZ,Tempe,166061,1267.3656066144372
CO,Thornton,123115,982.9833895138692
CA,Thousand Oaks,129171,408.683063535933
KS,Topeka,128843,2058.9399501719145
CA,Torrance,147851,570.4391583418442
TX,Tyler,100040,1202.019192323071
CA,Vallejo,117912,1263.060587556822
WA,Vancouver,166375,1199.0383170548462
CA,Ventura,108511,1426.7677931269639
CA,Victorville,118687,1419.1107703455307
CA,Visalia,127604,1744.7728911319393
TX,Waco,128595,861.6975776663166
MI,Warren,134340,1755.3223165103468
CT,Waterbury,110486,1499.9185417156925
CA,West Covina,107861,1419.048590315313
UT,West Jordan,107103,958.9834084946267
FL,West Palm Beach,102422,1864.638456581594
UT,West Valley,133725,1562.834174612077
CO,Westminster,109461,1044.9383798795918
TX,Wichita Falls,105488,1060.3101774609434
NC,Wilmington,109370,1345.0672030721403
NC,Winston-Salem,234687,688.8749696404145
NJ,Woodbridge Township,100612,688.5858545700314
MA,Worcester,183247,1185.6128613292442
NY,Yonkers,198464,1226.5196710738471
AL,Mobile3,248431,511.5987940313407
AK,Anchorage,296188,665.9250205950275
AZ,Chandler,249355,289.9721280904734
AZ,Gilbert,242090,142.98401420959146
AZ,Glendale,249273,646.4719404026911
AZ,Mesa,492268,199.3995140858232
AZ,Phoenix,1608139,125.39463317536605
AZ,Scottsdale,251840,243.28541931385004
AZ,Tucson,1532323,137.98069989160248
CA,Anaheim,353400,336.3695529145445
CA,Bakersfield,381154,587.8411350792593
CA,Chula Vista,271109,641.3619614251094
CA,Fremont,236368,357.0787923915251
CA,Fresno,526371,347.5343436473514
CA,Irvine,276115,131.1627401626134
CA,Long Beach,471397,392.5014372174622
CA,Los Angeles,3898747,43.38675990003968
CA,Oakland,424915,461.85943070967136
CA,Riverside,328023,478.1646408940837
CA,Sacramento,499997,367.72220633323803
CA,San Bernardino,217259,1060.9871167592598
CA,San Diego,1386932,72.55582825978492
CA,San Francisco,881255,210.82773998445398
CA,San Jose,1013240,155.57321069045832
CA,Santa Ana,335699,408.9824515414105
CA,Santa Clara,216350,736.2098451583082
CA,Stockton4,309566,915.775634275082
CO,Aurora,368018,455.3391410202762
CO,Colorado Springs,472958,323.5276705331129
CO,Denver,706616,296.2910548303464
DC,"Washington, D.C.",693972,227.0999406316105
FL,Hialeah,238260,312.6794258373206
FL,Jacksonville,894638,178.85334626966437
FL,Miami,463009,358.52866790926305
FL,Orlando,283982,732.8351796944877
FL,St. Petersburg,263712,667.2013408566921
FL,Tampa,384360,245.44437506504318
GA,Atlanta,481343,486.2063019509995
GA,Savannah,242941,578.9595004548429
HI,Honolulu,990384,98.93334302654324
ID,Boise,225677,344.2043274237073
IL,Chicago,2746388,73.44009659232417
IN,Fort Wayne,266259,407.0923424184722
IN,Indianapolis,870788,221.2398425334295
IA,Des Moines,217277,584.2081766592875
KS,Wichita,391084,644.472798682636
KY,Lexington,322332,436.1962200464118
KY,Louisville Metro6,684362,297.2125863212744
LA,Baton Rouge,227403,675.276931263
LA,New Orleans,397447,586.0806598112454
MD,Baltimore,613217,475.00640067056196
MA,Boston,682903,169.0562202831149
MI,Detroit,670792,99.38699328554904
MN,Minneapolis,418971,619.2982330519296
MN,St. Paul,306696,690.7100190416569
MO,Kansas City,484948,499.16073475919063
MO,St. Louis,310284,555.9004009230254
NE,Omaha,449388,420.7499977747515
NV,Henderson,299285,257.3399936515362
NV,Las Vegas,627244,308.12729974300277
NV,North Las Vegas,242537,976.3005232191377
NV,Reno,248531,723.8372677855076
NJ,Jersey City,267906,419.78529782834283
NJ,Newark,283673,771.5820680854366
NM,Albuquerque,561375,243.89044756179024
NY,Buffalo,256169,913.1003361062421
NY,New York,8804190,8.340574203873382
NC,Charlotte-Mecklenburg,914609,182.90220192453828
NC,Durham,269088,726.2977167320728
NC,Greensboro,290051,609.4204122723245
OH,Cincinnati,309317,466.6992114885376
OH,Cleveland,372624,671.8354158615656
OH,Columbus,905748,204.35485366790763
OH,"Toledo4,5,7",270871,452.1561924310834
OK,Oklahoma City,648260,335.3068213371178
OK,Tulsa,404868,476.9455723840856
OR,Portland,649408,198.9673672021287
PA,Philadelphia,1603797,108.49502773730092
PA,Pittsburgh,305932,473.7457997201993
TN,Memphis,652765,201.71118243165614
TN,Nashville,674942,320.0112009624531
TX,Arlington4,397377,332.09018136429637
TX,Austin,971949,111.85772092980187
TX,Corpus Christi,329256,491.9333284738926
TX,Dallas,1304379,163.27233112461943
TX,El Paso,688667,100.02802515584456
TX,Fort Worth,873069,168.7644390076844
TX,Garland,236243,499.367177016885
TX,Houston,2304580,102.02509784863186
TX,Irving,242062,384.3395493716486
TX,Laredo,260669,287.575430910465
TX,Plano,290413,181.055944465296
TX,San Antonio,1434625,135.45630391217216
VA,Chesapeake,240119,336.2999179573461
VA,Norfolk,245190,539.7650801419308
VA,Virginia Beach,454353,91.50374268465268
WA,Seattle,721365,160.32798929806688
WA,Spokane,217066,667.8982429307216
WI,Madison,255850,355.4895446550713
WI,Milwaukee,595168,417.95425829345663
