InstitutionName,State,CurrentAdmissionsTestingPolicy
Inter American University of Puerto Rico-Metro,PR,Test Optional
Inter American University of Puerto Rico-Ponce,PR,Test Optional
Inter American University of Puerto Rico-San German,PR,Test Optional
International Baptist College and Seminary,AZ,Test Optional
"Iona University

",NY,Test Optional
Iowa State University,IA,Test Optional
Ithaca College,NY,Test Optional
Jackson College,MI,Test Optional
Jackson State University,MS,Test Optional
Jacksonville State University,AL,Test Optional
Jacksonville University,FL,Test Optional
James Madison University,VA,Test Optional
Jarvis Christian University,TX,Test Optional
John Brown University,AR,Test Optional
John Patrick University of Health and Applied Sciences,IN,Test Optional
John Paul the Great Catholic University,CA,Test Optional
Johnson & Wales University-Charlotte,NC,Test Optional
Johnson & Wales University-Providence,RI,Test Optional
Johnson C Smith University,NC,Test Optional
Jose Maria Vargas University,FL,Test Optional
Joyce University of Nursing and Health Sciences,UT,Test Optional
Judson University,IL,Test Optional
Juniata College,PA,Test Optional
Kalamazoo College,MI,Test Optional
Kansas Christian College,KS,Test Optional
Kansas City Art Institute,MO,Test Optional
Kansas State University,KS,Test Optional
Kansas Wesleyan University,KS,Test Optional
Kean University,NJ,Test Optional
Keene State College,NH,Test Optional
Kehilath Yakov Rabbinical Seminary,NY,Test Optional
Keiser University-Ft Lauderdale,FL,Test Optional
Kent State University at Ashtabula,OH,Test Optional
Kent State University at East Liverpool,OH,Test Optional
Kent State University at Geauga,OH,Test Optional
Kent State University at Kent,OH,Test Optional
Kent State University at Salem,OH,Test Optional
Kent State University at Stark,OH,Test Optional
Kent State University at Trumbull,OH,Test Optional
Kent State University at Tuscarawas,OH,Test Optional
Kentucky State University,KY,Test Optional
Kentucky Wesleyan College,KY,Test Optional
Kettering University,MI,Test Optional
Keuka College,NY,Test Optional
Keystone College,PA,Test Optional
King University,TN,Test Optional
King's College,PA,Test Optional
Knox College,IL,Test Optional
La Roche University,PA,Test Optional
La Sierra University,CA,Test Optional
Laboure College of Healthcare,MA,Test Optional
Lac Courte Oreilles Ojibwe University,WI,Test Optional
Lackawanna College,PA,Test Optional
LaGrange College,GA,Test Optional
Laguna College of Art and Design,CA,Test Optional
Lake Erie College,OH,Test Optional
Lake Forest College,IL,Test Optional
Lake Superior State University,MI,Test Optional
Lake Washington Institute of Technology,WA,Test Optional
Lake-Sumter State College,FL,Test Optional
Lakeland University,WI,Test Optional
Lamar University,TX,Test Optional
Lancaster Bible College,PA,Test Optional
Lander University,SC,Test Optional
Landmark College,VT,Test Optional
Lane College,TN,Test Optional
Langston University,OK,Test Optional
Laramie County Community College,WY,Test Optional
Laredo College,TX,Test Optional
Lasell University,MA,Test Optional
Latin American Bible Institute,CA,Test Optional
Laurus College,CA,Test Optional
Lawrence University,WI,Test Optional
Le Moyne College,NY,Test Optional
Learnet Academy Inc,CA,Test Optional
Lebanon Valley College,PA,Test Optional
Lee University,TN,Test Optional
Lees-McRae College,NC,Test Optional
Lehigh University,PA,Test Optional
Lenoir-Rhyne University,NC,Test Optional
Lesley University,MA,Test Free
LeTourneau University,TX,Test Optional
Lewis & Clark College,OR,Test Free
Lewis University,IL,Test Optional
Lewis-Clark State College,ID,Test Optional
Liberty University,VA,Test Optional
Life Pacific University,CA,Test Optional
LIM College,NY,Test Optional
Limestone University,SC,Test Optional
Lincoln Memorial University,TN,Test Optional
Lincoln University,MO,Test Optional
Lincoln University,CA,Test Optional
Lincoln University,PA,Test Optional
Lindenwood University,MO,Test Optional
Lindsey Wilson College,KY,Test Optional
Linfield University,OR,Test Optional
Living Arts College,NC,Test Optional
Lock Haven University,PA,Test Optional
Logan University,MO,Test Optional
Lone Star College System,TX,Test Optional
Long Island University,NY,Test Optional
Longwood University,VA,Test Optional
Longy School of Music of Bard College,MA,Test Optional
Lorain County Community College,OH,Test Optional
Loras College,IA,Test Optional
Los Angeles College of Music,CA,Test Optional
Los Angeles Film School,CA,Test Optional
Louisiana State University and Agricultural & Mechanical College,LA,Test Optional
Louisiana State University-Alexandria,LA,Test Optional
Lourdes University,OH,Test Optional
Lower Columbia College,WA,Test Optional
Loyola University Chicago,IL,Test Optional
Loyola University Maryland,MD,Test Optional
Loyola University New Orleans,LA,Test Free
Lubbock Christian University,TX,Test Optional
Luther College,IA,Test Optional
Luther Rice College & Seminary,GA,Test Optional
Lycoming College,PA,Test Optional
Lynn University,FL,Test Optional
Lyon College,AR,Test Optional
Macalester College,MN,Test Optional
Machzikei Hadath Rabbinical College,NY,Test Optional
Madonna University,MI,Test Optional
Maharishi International University,IA,Test Optional
Maine College of Art & Design,ME,Test Free
Maine College of Health Professions,ME,Test Optional
Maine Maritime Academy,ME,Test Optional
Malone University,OH,Test Optional
Manchester University,IN,Test Optional
Manhattan Christian College,KS,Test Optional
Manhattan College,NY,Test Optional
Manhattan School of Music,NY,Test Optional
Manhattanville College,NY,Test Optional
Manna University,NC,Test Optional
Manor College,PA,Test Optional
Mansfield University of Pennsylvania,PA,Test Optional
Maria College of Albany,NY,Test Optional
Marian University,WI,Test Optional
Marian University,IN,Test Optional
Marietta College,OH,Test Optional
Marist College,NY,Test Optional
Marquette University,WI,Test Optional
Mars Hill University,NC,Test Optional
Marshall University,WV,Test Optional
Martin University,IN,Test Optional
Mary Baldwin University,VA,Test Optional
Maryland Institute College of Art,MD,Test Optional
Marymount Manhattan College,NY,Test Optional
Marymount University,VA,Test Free
Maryville College,TN,Test Optional
Maryville University of Saint Louis,MO,Test Optional
Marywood University,PA,Test Optional
Massachusetts College of Art and Design,MA,Test Optional
Mayville State University,ND,Test Optional
McDaniel College,MD,Test Optional
McKendree University,IL,Test Optional
McMurry University,TX,Test Optional
McNeese State University,LA,Test Optional
McPherson College,KS,Test Free
MCPHS University,MA,Test Optional
Menlo College,CA,Test Free
Mercy College,NY,Test Optional
Mercy College of Health Sciences,IA,Test Optional
Mercy College of Ohio,OH,Test Optional
Mercyhurst University,PA,Test Optional
Meredith College,NC,Test Optional
Merrimack College,MA,Test Free
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY,Test Optional
Mesivta Torah Vodaath Rabbinical Seminary,NY,Test Optional
Mesivtha Tifereth Jerusalem of America,NY,Test Optional
Messenger College,TX,Test Optional
Messiah University,PA,Test Optional
Methodist University,NC,Test Optional
Metropolitan College of New York,NY,Test Optional
Metropolitan State University,MN,Test Optional
Metropolitan State University of Denver,CO,Test Optional
Miami Dade College,FL,Test Optional
Miami Regional University,FL,Test Optional
Miami University-Hamilton,OH,Test Optional
Miami University-Middletown,OH,Test Optional
Michigan State University,MI,Test Optional
Michigan Technological University,MI,Test Optional
Mid-America Christian University,OK,Test Optional
Mid-Atlantic Christian University,NC,Test Optional
MidAmerica Nazarene University,KS,Test Optional
Midland College,TX,Test Optional
Midland University,NE,Test Optional
Midwestern State University,TX,Test Optional
Miles College,AL,Test Optional
Millennia Atlantic University,FL,Test Optional
Miller-Motte College,--,Test Optional
Miller-Motte College-Chattanooga,TN,Test Optional
Miller-Motte College-Wilmington,NC,Test Optional
Millersville University of Pennsylvania,PA,Test Optional
Milligan University,TN,Test Optional
Millikin University,IL,Test Optional
Millsaps College,MS,Test Optional
Milwaukee Institute of Art & Design,WI,Test Optional
Milwaukee School of Engineering,WI,Test Optional
Minerva University,CA,Test Free
Minneapolis College of Art and Design,MN,Test Optional
Minnesota State University Moorhead,MN,Test Optional
Minnesota State University-Mankato,MN,Test Optional
Minot State University,ND,Test Optional
MiraCosta College,CA,Test Optional
Mirrer Yeshiva Cent Institute,NY,Test Optional
Mississippi State University,MS,Test Optional
Mississippi University for Women,MS,Test Optional
Mississippi Valley State University,MS,Test Optional
Missouri Baptist University,MO,Test Optional
Missouri Southern State University,MO,Test Optional
Missouri State University-Springfield,MO,Test Optional
Missouri Valley College,MO,Test Optional
Missouri Western State University,MO,Test Optional
Mitchell College,CT,Test Optional
Modesto Junior College,CA,Test Free
Monmouth College,IL,Test Optional
Monroe College,NY,Test Optional
Montana Bible College,MT,Test Optional
Montana State University,MT,Test Optional
Montana State University Billings,MT,Test Optional
Montana State University-Northern,MT,Test Optional
Montana Technological University,MT,Test Optional
Montclair State University,NJ,Test Optional
Montreat College,NC,Test Optional
Montserrat College of Art,MA,Test Optional
Moody Bible Institute,IL,Test Optional
Moore College of Art and Design,PA,Test Optional
Moravian University,PA,Test Optional
Morehead State University,KY,Test Optional
Morgan State University,MD,Test Optional
Morningside University,IA,Test Optional
MORRIS BROWN COLLEGE,GA,Test Optional
Morris College,SC,Test Optional
Mount Aloysius College,PA,Test Optional
Mount Angel Seminary,OR,Test Optional
Mount Carmel College of Nursing,OH,Test Optional
Mount Holyoke College,MA,Test Optional
Mount Marty University,SD,Test Optional
Mount Mary University,WI,Test Optional
Mount Mercy University,IA,Test Optional
Mount Saint Joseph University,OH,Test Optional
Mount Saint Mary College,NY,Test Optional
Mount Saint Mary's University,CA,Test Free
Mount St. Mary's University,MD,Test Optional
Mount Vernon Nazarene University,OH,Test Optional
Muhlenberg College,PA,Test Optional
Murray State University,KY,Test Optional
Musicians Institute,CA,Test Optional
Muskingum University,OH,Test Optional
Naropa University,CO,Test Optional
National American University,--,Test Optional
National American University-Ellsworth,SD,Test Optional
National American University-Georgetown,TX,Test Optional
National Louis University,IL,Test Optional
National Paralegal College,--,Test Optional
National University,CA,Test Optional
Navajo Technical University,NM,Test Optional
Nazarene Bible College,KY,Test Optional
Nazareth College,NY,Test Optional
Nebraska Methodist College of Nursing & Allied Health,NE,Test Optional
Nebraska Wesleyan University,NE,Test Optional
Ner Israel Rabbinical College,MD,Test Optional
Neumann University,PA,Test Free
Neumont College of Computer Science,UT,Test Optional
Nevada State College,NV,Test Optional
New England College,NH,Test Optional
New England Institute of Technology,RI,Test Optional
New Hope Christian College-Eugene,OR,Test Optional
New Jersey City University,NJ,Test Optional
New Mexico Highlands University,NM,Test Optional
New Mexico State University-Main Campus,NM,Test Optional
New Orleans Baptist Theological Seminary,LA,Test Optional
New York College of Health Professions,NY,Test Optional
New York Film Academy,CA,Test Optional
New York Institute of Technology,NY,Test Optional
New York School of Interior Design,NY,Test Optional
Newman University,KS,Test Optional
Newschool of Architecture and Design,CA,Test Optional
NewU University,DC,Test Free
Niagara University,NY,Test Optional
Nicholls State University,LA,Test Optional
Nichols College,MA,Test Optional
Nightingale College,UT,Test Optional
North American University,TX,Test Optional
North Central College,IL,Test Optional
North Central State College,OH,Test Optional
North Central University,MN,Test Optional
North Dakota State University-Main Campus,ND,Test Optional
North Florida College,FL,Test Optional
North Greenville University,SC,Test Optional
North Park University,IL,Test Optional
North Seattle College,WA,Test Optional
Northcentral University,--,Test Optional
Northeastern Illinois University,IL,Test Optional
Northeastern State University,OK,Test Optional
Northern Arizona University,AZ,Test Optional
Northern Illinois University,IL,Test Free
Northern Kentucky University,KY,Test Optional
Northern Marianas College,MP,Test Optional
Northern Michigan University,MI,Test Free
Northern New Mexico College,NM,Test Optional
Northern State University,SD,Test Optional
Northern Vermont University,VT,Test Optional
Northland College,WI,Test Optional
Northpoint Bible College,MA,Test Optional
Northwest College,WY,Test Optional
Northwest College of Art & Design,WA,Test Optional
Northwest Florida State College,FL,Test Optional
Northwest Indian College,WA,Test Optional
Northwest Missouri State University,MO,Test Optional
Northwest Nazarene University,ID,Test Optional
Northwest University,WA,Test Optional
Northwest University-Center for Online and Extended Education,WA,Test Optional
Northwestern College,IA,Test Optional
Northwestern Michigan College,MI,Test Optional
Northwestern Oklahoma State University,OK,Test Optional
Northwestern State University of Louisiana,LA,Test Optional
Northwood University,MI,Test Optional
Norwich University,VT,Test Optional
Nossi College of Art,TN,Test Optional
Notre Dame of Maryland University,MD,Test Optional
NUC University,PR,Test Optional
NUC University - Florida Technical College,FL,Test Optional
Nueta Hidatsa Sahnish College,ND,Test Optional
Oak Hills Christian College,MN,Test Optional
Oak Valley College,CA,Test Optional
Oakland City University,IN,Test Optional
Oakwood University,AL,Test Optional
Occidental College,CA,Test Optional
Odessa College,TX,Test Optional
Oglala Lakota College,SD,Test Optional
Oglethorpe University,GA,Test Optional
Ohio Christian University,OH,Test Optional
Ohio Dominican University,OH,Test Optional
Ohio Northern University,OH,Test Optional
Ohio State University-Lima Campus,OH,Test Optional
Ohio State University-Mansfield Campus,OH,Test Optional
Ohio State University-Marion Campus,OH,Test Optional
Ohio State University-Newark Campus,OH,Test Optional
Ohio University-Chillicothe Campus,OH,Test Optional
Ohio University-Eastern Campus,OH,Test Optional
Ohio University-Lancaster Campus,OH,Test Optional
Ohio University-Main Campus,OH,Test Optional
Ohio University-Southern Campus,OH,Test Optional
Ohio University-Zanesville Campus,OH,Test Optional
Ohio Wesleyan University,OH,Test Optional
Oklahoma Baptist University,OK,Test Optional
Oklahoma Christian University,OK,Test Optional
Oklahoma City University,OK,Test Optional
Oklahoma Panhandle State University,OK,Test Optional
Oklahoma State University Institute of Technology,OK,Test Optional
Oklahoma State University-Main Campus,OK,Test Optional
Oklahoma State University-Oklahoma City,OK,Test Optional
Oklahoma Wesleyan University,OK,Test Optional
Old Dominion University,VA,Test Optional
Olivet College,MI,Test Optional
Olivet Nazarene University,IL,Test Optional
Olympic College,WA,Test Optional
Oregon Health & Science University,OR,Test Optional
Oregon Institute of Technology,OR,Test Optional
Oregon State University,OR,Test Optional
Oregon State University-Cascades Campus,OR,Test Optional
Orion Technical College,IA,Test Optional
Otis College of Art and Design,CA,Test Optional
Ottawa University-Ottawa,KS,Test Optional
Ottawa University-Surprise,AZ,Test Optional
Otterbein University,OH,Test Optional
Ouachita Baptist University,AR,Test Optional
Our Lady of the Lake University,TX,Test Optional
Ozark Christian College,MO,Test Optional
Pace University,NY,Test Optional
Pacific Bible College,OR,Test Optional
Pacific College,CA,Test Optional
Pacific College of Health and Science,NY,Test Optional
Pacific College of Health and Science,IL,Test Optional
Pacific College of Health and Science,CA,Test Optional
Pacific Islands University,GU,Test Optional
Pacific Lutheran University,WA,Test Optional
Pacific Oaks College,CA,Test Optional
Pacific Rim Christian University,HI,Test Optional
Pacific States University,CA,Test Optional
Pacific Union College,CA,Test Optional
Pacific University,OR,Test Optional
Paier College,CT,Test Optional
Paine College,GA,Test Optional
Palm Beach Atlantic University,FL,Test Optional
Palm Beach State College,FL,Test Optional
Park University,MO,Test Optional
Parker University,TX,Test Optional
Pasco-Hernando State College,FL,Test Optional
Paul Quinn College,TX,Test Optional
Paul Smiths College of Arts and Science,NY,Test Optional
PCI College,CA,Test Optional
Peninsula College,WA,Test Optional
Pennsylvania College of Art and Design,PA,Test Free
Pennsylvania College of Technology,PA,Test Optional
Pennsylvania Institute of Technology,PA,Test Optional
Pennsylvania Western University,PA,Test Optional
Pensacola State College,FL,Test Optional
Pepperdine University,CA,Test Optional
Peru State College,NE,Test Optional
Pfeiffer University,NC,Test Optional
Piedmont University,GA,Test Optional
Pikes Peak State College,CO,Test Optional
Pillar College,NJ,Test Optional
Pima Medical Institute-Tucson,AZ,Test Optional
Pittsburg State University,KS,Test Optional
Pittsburgh Technical College,PA,Test Optional
Platt College-Anaheim,CA,Test Optional
Platt College-Aurora,CO,Test Optional
Platt College-Los Angeles,CA,Test Optional
Platt College-Ontario,CA,Test Optional
Platt College-Riverside,CA,Test Optional
Platt College-San Diego,CA,Test Optional
Plaza College,NY,Test Optional
Plymouth State University,NH,Test Free
Point Loma Nazarene University,CA,Test Optional
Point Park University,PA,Test Optional
Point University,GA,Test Optional
Polk State College,FL,Test Optional
Polytechnic University of Puerto Rico-Miami,FL,Test Optional
Pomona College,CA,Test Optional
Portland State University,OR,Test Optional
Post University,CT,Test Optional
Potomac State College of West Virginia University,WV,Test Optional
Prairie View A & M University,TX,Test Optional
Pratt Institute-Main,NY,Test Optional
Presbyterian College,SC,Test Optional
Presbyterian Theological Seminary in America,CA,Test Optional
Prescott College,AZ,Test Optional
Principia College,IL,Test Optional
Providence College,RI,Test Optional
Provo College,UT,Test Optional
Pueblo Community College,CO,Test Optional
Purdue University Fort Wayne,IN,Test Optional
Purdue University Global,IN,Test Optional
Purdue University Northwest,IN,Test Optional
Queens University of Charlotte,NC,Test Optional
Quincy College,MA,Test Optional
Quincy University,IL,Test Optional
Quinnipiac University,CT,Test Optional
Rabbi Jacob Joseph School,NJ,Test Optional
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,Test Optional
Rabbinical College Beth Shraga,NY,Test Optional
Rabbinical College Bobover Yeshiva Bnei Zion,NY,Test Optional
Rabbinical College of America,NJ,Test Optional
Rabbinical College of Long Island,NY,Test Optional
Rabbinical College of Ohr Shimon Yisroel,NY,Test Optional
Rabbinical College Telshe,OH,Test Optional
Rabbinical Seminary Mkor Chaim,NJ,Test Optional
Rabbinical Seminary of America,NY,Test Optional
Radford University,VA,Test Optional
Radford University-Carilion,VA,Test Optional
Ramapo College of New Jersey,NJ,Test Optional
Randolph College,VA,Test Optional
Randolph-Macon College,VA,Test Optional
Ranken Technical College,MO,Test Optional
Rasmussen University-Florida,FL,Test Optional
Rasmussen University-Illinois,IL,Test Optional
Rasmussen University-Kansas,KS,Test Optional
Rasmussen University-Minnesota,MN,Test Optional
Rasmussen University-North Dakota,ND,Test Optional
Rasmussen University-Wisconsin,WI,Test Optional
Reach University,CA,Test Free
Red Rocks Community College,CO,Test Optional
Reformed University,GA,Test Optional
Regent University,VA,Test Optional
Regis College,MA,Test Free
Regis University,CO,Test Optional
Reinhardt University,GA,Test Optional
Remington College-Dallas Campus,TX,Test Optional
Remington College-Memphis Campus,TN,Test Optional
Remington College-Mobile Campus,AL,Test Optional
Remington College-North Houston Campus,TX,Test Optional
Remington College-Shreveport Campus,LA,Test Optional
Renton Technical College,WA,Test Optional
Rhode Island College,RI,Test Optional
Rhode Island School of Design,RI,Test Optional
Rhodes College,TN,Test Optional
Rice University,TX,Test Optional
Rider University,NJ,Test Optional
Ringling College of Art and Design,FL,Test Optional
Rio Hondo College,CA,Test Optional
Ripon College,WI,Test Optional
Riverside College of Health Careers,VA,Test Optional
Rivier University,NH,Test Optional
Roanoke College,VA,Test Optional
Robert Morris University,PA,Test Optional
Roberts Wesleyan University,NY,Test Optional
Rochester Christian University,MI,Test Optional
Rochester Institute of Technology,NY,Test Optional
Rockford University,IL,Test Optional
Rockhurst University,MO,Test Optional
Rocky Mountain College,MT,Test Optional
Rocky Mountain College of Art and Design,CO,Test Optional
Roger Williams University,RI,Test Optional
Rollins College,FL,Test Optional
Roosevelt University,IL,Test Optional
Rosemont College,PA,Test Optional
Rowan University,NJ,Test Optional
Russell Sage College,NY,Test Optional
Rust College,MS,Test Optional
Rutgers University-Newark,NJ,Test Free
Sacred Heart Major Seminary,MI,Test Optional
Sacred Heart University,CT,Test Optional
SAE Expression College,CA,Test Optional
SAE Institute of Technology-Nashville,TN,Test Optional
Saginaw Valley State University,MI,Test Optional
Saint Ambrose University,IA,Test Optional
Saint Anselm College,NH,Test Optional
Saint Anthony College of Nursing,IL,Test Optional
Saint Charles Borromeo Seminary-Overbrook,PA,Test Optional
Saint Cloud State University,MN,Test Optional
Saint Edward's University,TX,Test Optional
Saint Elizabeth University,NJ,Test Optional
Saint Francis University,PA,Test Optional
Saint Johns River State College,FL,Test Optional
Saint Johns University,MN,Test Optional
Saint Joseph Seminary College,LA,Test Optional
Saint Joseph's College of Maine,ME,Test Optional
Saint Joseph's University,PA,Test Optional
Saint Leo University,FL,Test Optional
Saint Louis University,MO,Test Optional
Saint Martin's University,WA,Test Optional
Saint Mary-of-the-Woods College,IN,Test Optional
Saint Mary's College,IN,Test Optional
Saint Mary's College of California,CA,Test Optional
Saint Mary's University of Minnesota,MN,Test Optional
Saint Michael's College,VT,Test Optional
Saint Peter's University,NJ,Test Optional
Saint Vincent College,PA,Test Optional
Saint Xavier University,IL,Test Optional
Salem College,NC,Test Optional
Salem State University,MA,Test Optional
Salem University,WV,Test Optional
Salisbury University,MD,Test Optional
Salish Kootenai College,MT,Test Optional
Salve Regina University,RI,Test Optional
Sam Houston State University,TX,Test Optional
San Diego Global Knowledge University,CA,Test Optional
San Diego Mesa College,CA,Test Optional
San Diego State University,CA,Test Free
San Francisco Bay University,CA,Test Optional
San Francisco Conservatory of Music,CA,Test Optional
San Francisco State University,CA,Test Free
San Ignacio University,FL,Test Optional
San Joaquin Valley College-Visalia,CA,Test Optional
San Jose State University,CA,Test Free
Santa Ana College,CA,Test Optional
Santa Fe College,FL,Test Optional
Santa Monica College,CA,Test Optional
Sarah Lawrence College,NY,Test Optional
Savannah College of Art and Design,GA,Test Optional
Schiller International University,FL,Test Optional
School of the Art Institute of Chicago,IL,Test Optional
School of Visual Arts,NY,Test Optional
Schoolcraft Community College District,MI,Test Optional
Scripps College,CA,Test Optional
Seattle Central College,WA,Test Optional
Seattle Film Institute,WA,Test Optional
Seattle Pacific University,WA,Test Optional
Seattle University,WA,Test Optional
Selma University,AL,Test Optional
Seminole State College of Florida,FL,Test Optional
Seton Hill University,PA,Test Optional
Sh'or Yoshuv Rabbinical College,NY,Test Optional
Shasta Bible College and Graduate School,CA,Test Optional
Shasta College,CA,Test Optional
Shaw University,NC,Test Optional
Shawnee State University,OH,Test Optional
Shenandoah University,VA,Test Optional
Shepherd University,WV,Test Optional
Shippensburg University of Pennsylvania,PA,Test Free
Shorter College,AK,Test Optional
Shorter University,GA,Test Optional
Siena College,NY,Test Optional
Siena Heights University,MI,Test Optional
Simmons College of Kentucky,KY,Test Optional
Simmons University,MA,Test Optional
Simpson College,IA,Test Optional
Simpson University,CA,Test Optional
Sinclair Community College,OH,Test Optional
Sinte Gleska University,SD,Test Optional
Sisseton Wahpeton College,SD,Test Optional
Sitting Bull College,ND,Test Optional
Skagit Valley College,WA,Test Optional
Skidmore College,NY,Test Optional
Skyline College,CA,Test Optional
"Skyline College

",--,Test Optional
Slippery Rock University of Pennsylvania,PA,Test Optional
Smith Chason College,CA,Test Optional
Smith College,MA,Test Optional
Snow College,UT,Test Optional
Soka University of America,CA,Test Optional
Solano Community College,CA,Test Optional
Sonoma State University,CA,Test Free
South Carolina State University,SC,Test Optional
South College,TN,Test Optional
South Dakota School of Mines and Technology,SD,Test Optional
South Dakota State University,SD,Test Optional
South Florida Bible College and Theological Seminary,FL,Test Optional
South Florida State College,FL,Test Optional
South Seattle College,WA,Test Optional
South Texas College,TX,Test Optional
South University-Austin,TX,Test Optional
South University-Columbia,SC,Test Optional
South University-High Point,NC,Test Optional
South University-Montgomery,AL,Test Optional
South University-Richmond,VA,Test Optional
South University-Savannah,GA,Test Optional
South University-Tampa,FL,Test Optional
South University-Virginia Beach,VA,Test Optional
South University-West Palm Beach,FL,Test Optional
Southeast Missouri State University,MO,Test Optional
Southeastern Baptist College,MS,Test Optional
Southeastern Baptist Theological Seminary,NC,Test Optional
Southeastern College-West Palm Beach,FL,Test Optional
Southeastern Free Will Baptist Bible College,NC,Test Optional
Southeastern Louisiana University,LA,Test Optional
Southeastern Oklahoma State University,OK,Test Optional
Southeastern University,FL,Test Optional
Southern Adventist University,TN,Test Optional
Southern California Institute of Architecture,CA,Test Optional
Southern California Institute of Technology,CA,Test Optional
Southern California Seminary,CA,Test Optional
Southern Connecticut State University,CT,Test Optional
Southern Illinois University-Carbondale,IL,Test Optional
Southern Illinois University-Edwardsville,IL,Test Optional
Southern Methodist University,TX,Test Optional
Southern Nazarene University,OK,Test Optional
Southern New Hampshire University,NH,Test Optional
Southern Oregon University,OR,Test Optional
Southern States University,CA,Test Optional
Southern Technical College,FL,Test Optional
Southern University and A & M College,LA,Test Optional
Southern University at New Orleans,LA,Test Optional
Southern Utah University,UT,Test Optional
Southern Virginia University,VA,Test Optional
Southern Wesleyan University,SC,Test Optional
Southwest Baptist University,MO,Test Optional
Southwest Minnesota State University,MN,Test Optional
Southwest University at El Paso,TX,Test Optional
Southwest University of Visual Arts-Albuquerque,NM,Test Optional
Southwestern Adventist University,TX,Test Optional
Southwestern Christian College,TX,Test Optional
Southwestern Christian University,OK,Test Optional
Southwestern College,KS,Test Optional
Southwestern Oklahoma State University,OK,Test Optional
Southwestern University,TX,Test Optional
Spalding University,KY,Test Optional
Spartan College of Aeronautics and Technology,OK,Test Optional
Spartanburg Methodist College,SC,Test Optional
Spring Arbor University,MI,Test Optional
Spring Hill College,AL,Test Optional
Springfield College,MA,Test Optional
St Bonaventure University,NY,Test Optional
St Catherine University,MN,Test Optional
St Lawrence University,NY,Test Optional
St Olaf College,MN,Test Optional
St Petersburg College,FL,Test Optional
St. Andrews University,NC,Test Optional
St. Francis College,NY,Test Optional
St. John Fisher University,NY,Test Optional
St. John Vianney College Seminary,FL,Test Optional
St. John's College,MD,Test Optional
St. John's College,NM,Test Optional
St. John's University-New York,NY,Test Optional
St. Joseph's University-Long Island,NY,Test Optional
St. Joseph's University-New York,NY,Test Optional
St. Mary's College of Maryland,MD,Test Optional
St. Mary's University,TX,Test Optional
St. Thomas Aquinas College,NY,Test Optional
St. Thomas University,FL,Test Optional
Stanbridge University,CA,Test Optional
State College of Florida-Manatee-Sarasota,FL,Test Optional
State University of New York at New Paltz,NY,Test Optional
State University of New York at Oswego,NY,Test Optional
Stephen F Austin State University,TX,Test Optional
Sterling College,VT,Test Free
Stetson University,FL,Test Optional
Stevens-The Institute of Business & Arts,MO,Test Optional
Stevenson University,MD,Test Optional
Stillman College,AL,Test Optional
Stockton University,NJ,Test Optional
Stone Child College,MT,Test Optional
Stony Brook University,NY,Test Optional
Strayer University-Alabama,AL,Test Optional
Strayer University-Arkansas,AR,Test Optional
Strayer University-Delaware,DE,Test Optional
Strayer University-District of Columbia,DC,Test Optional
Strayer University-Florida,FL,Test Optional
Strayer University-Georgia,GA,Test Optional
Strayer University-Global Region,DC,Test Optional
Strayer University-Maryland,MD,Test Optional
Strayer University-Mississippi,MS,Test Optional
Strayer University-New Jersey,NJ,Test Optional
Strayer University-North Carolina,NC,Test Optional
Strayer University-Pennsylvania,PA,Test Optional
Strayer University-South Carolina,SC,Test Optional
Strayer University-Tennessee,TN,Test Optional
Strayer University-Texas,TX,Test Optional
Strayer University-Virginia,VA,Test Optional
Strayer University-West Virginia,WV,Test Optional
Suffolk University,MA,Test Optional
Sul Ross State University,TX,Test Optional
Sullivan University,KY,Test Optional
SUM Bible College and Theological Seminary,CA,Test Optional
Sumner College,OR,Test Optional
SUNY at Fredonia,NY,Test Optional
SUNY at Purchase College,NY,Test Optional
SUNY Brockport,NY,Test Optional
